norm_key,ulcm_substance_raw,atc_codes,ulcm_rows,is_combination,role,n_suppliers,n_countries,top_country,top_country_share,hhi_country,single_country,eu_eea_share,countries
caffeine,CAFFEINE,N06BC01,1,False,batch_release,4.0,3.0,FR,0.5,3750.0,False,1.0,AT|FR|IT
carbamazepine,CARBAMAZEPINE,N03AF01,1,False,api_cep,15.0,6.0,IN,0.4666666666666667,2888.9,False,0.4,CH|CN|DE|IN|IT|NL
carbetocin,CARBETOCIN,H01BB03,1,False,,,,,,,,,
carbimazole,CARBIMAZOLE,H03BB01,1,False,api_cep,4.0,2.0,IN,0.75,6250.0,False,0.25,FR|IN
carboplatin,CARBOPLATIN,L01XA02,1,False,api_cep,18.0,7.0,IN,0.3888888888888889,2222.2,False,0.2222222222222222,AR|CN|CZ|DE|IN|NL|US
cefixime,CEFIXIME,J01DD08,1,False,api_cep,16.0,5.0,IN,0.625,4296.9,False,0.0625,AT|CN|IN|JP|KR
cefotaxime,CEFOTAXIME,J01DD01,1,False,api_cep,13.0,5.0,IN,0.38461538461538464,2781.1,False,0.23076923076923078,AT|CN|IN|IT|KR
ceftazidime,CEFTAZIDIME,J01DD02,1,False,api_cep,9.0,6.0,IN,0.2222222222222222,1851.9,False,0.3333333333333333,AT|CN|GB|IN|IT|KR
ceftolozane|tazobactam,"TAZOBACTAM, CEFTOLOZANE",J01DI54,1,True,batch_release,1.0,1.0,FR,1.0,10000.0,True,1.0,FR
ceftriaxone,CEFTRIAXONE,J01DD04,1,False,api_cep,13.0,6.0,IN,0.38461538461538464,2426.0,False,0.3076923076923077,AT|CH|CN|IN|IT|KR
cefuroxime,CEFUROXIME,J01DC02,1,False,api_cep,27.0,7.0,IN,0.48148148148148145,2839.5,False,0.14814814814814814,CN|DE|GB|IN|IT|KR|TR
chlorambucil,CHLORAMBUCIL,L01AA02,1,False,api_cep,1.0,1.0,IN,1.0,10000.0,True,0.0,IN
cholera vaccine,CHOLERA VACCINE (inactivated),J07AE01,1,False,,,,,,,,,
ciclosporin,CICLOSPORIN,L04AD01,1,False,api_cep,11.0,8.0,CN,0.36363636363636365,1900.8,False,0.18181818181818182,CA|CN|CZ|IL|IN|IT|KR|US
ciclosporin,CICLOSPORIN,L04AD01,1,False,batch_release,4.0,4.0,DE,0.25,2500.0,False,1.0,DE|ES|FI|FR
cilastatin|imipenem|relebactam,"CILASTATIN SODIUM, IMIPENEM, RELEBACTAM",J01DH56,1,True,batch_release,1.0,1.0,FR,1.0,10000.0,True,1.0,FR
ciprofloxacin,CIPROFLOXACIN,J01MA02|S02AA15|S03AA07,3,False,api_cep,17.0,5.0,IN,0.6470588235294118,4602.1,False,0.11764705882352941,CN|DE|ES|IN|MX
cisatracurium,CISATRACURIUM,M03AC11,1,False,api_cep,5.0,5.0,CN,0.2,2000.0,False,0.6,CN|ES|HU|IL|NL
cisplatin,CISPLATIN,L01XA01,1,False,api_cep,14.0,6.0,IN,0.42857142857142855,2551.0,False,0.21428571428571427,AR|CN|DE|IN|NL|US
clarithromycin,CLARITHROMYCIN,J01FA09,1,False,api_cep,15.0,6.0,CN,0.4666666666666667,3066.7,False,0.13333333333333333,CN|ES|IN|MY|NL|US
clindamycin,CLINDAMYCIN,J01FF01,1,False,api_cep,12.0,3.0,CN,0.75,5972.2,False,0.25,CN|ES|IT
clonazepam,CLONAZEPAM,N03AE01,1,False,api_cep,4.0,2.0,IN,0.75,6250.0,False,0.25,IN|IT
clonidine,CLONIDINE,C02AC01,1,False,api_cep,6.0,3.0,IN,0.6666666666666666,5000.0,False,0.3333333333333333,DE|FR|IN
clopidogrel,CLOPIDOGREL,B01AC04,1,False,api_cep,42.0,7.0,IN,0.6190476190476191,4444.4,False,0.11904761904761904,CN|DE|FR|IN|NL|SA|SI
clopidogrel,CLOPIDOGREL,B01AC04,1,False,batch_release,18.0,12.0,IT,0.16666666666666666,987.7,False,0.9444444444444444,BG|DE|DK|FR|GB|GR|HR|HU|IT|PL|RO|SI
cloxacillin,CLOXACILLIN,J01CF02,1,False,api_cep,8.0,4.0,IN,0.375,3125.0,False,0.625,ES|IN|IT|NL
co trimoxazole,CO-TRIMOXAZOLE,J01EE01,1,False,,,,,,,,,
coagulation factor ix,HUMAN COAGULATION FACTOR IX,B02BD04,1,False,,,,,,,,,
coagulation factor vii,HUMAN COAGULATION FACTOR VII,B02BD05,1,False,,,,,,,,,
coagulation factor viii,HUMAN COAGULATION FACTOR VIII,B02BD02,1,False,,,,,,,,,
coagulation factor xiii,HUMAN COAGULATION FACTOR XIII,B02BD07,1,False,,,,,,,,,
colistin,COLISTIN,J01XB01,1,False,api_cep,12.0,3.0,CN,0.6666666666666666,5138.9,False,0.08333333333333333,CN|DK|JP
complement c1 esterase inhibitor,COMPLEMENT C1 ESTERASE INHIBITOR,B06AC01,1,False,,,,,,,,,
cyclopentolate,CYCLOPENTOLATE,S01FA04,1,False,api_cep,2.0,2.0,ES,0.5,5000.0,False,1.0,ES|IE
cyclophosphamide,CYCLOPHOSPHAMIDE,L01AA01,1,False,api_cep,7.0,2.0,IN,0.7142857142857143,5918.4,False,0.0,CN|IN
cytarabine,CYTARABINE,L01BC01,1,False,api_cep,6.0,5.0,IN,0.3333333333333333,2222.2,False,0.16666666666666666,CN|IN|IT|JP|US
dabigatran,DABIGATRAN,B01AE07,1,False,api_cep,15.0,5.0,IN,0.5333333333333333,3688.9,False,0.2,CN|ES|IN|NL|SI
dabigatran,DABIGATRAN,B01AE07,1,False,batch_release,7.0,6.0,FR,0.2857142857142857,1836.7,False,1.0,DE|ES|FR|MT|NL|PL
dabrafenib,DABRAFENIB,L01EC02,1,False,batch_release,4.0,3.0,SI,0.5,3750.0,False,1.0,DE|ES|SI
