atc_code,atc_level1,role,n_substances,n_suppliers,n_ulcm_substances,n_countries,top_country,top_country_share,hhi_country,eu_eea_share
A11C,A,mah_national,1,1,0,,,,,
A11CC,A,mah_national,3,8,0,,,,,
A11CC03,A,mah_national,1,3,0,,,,,
A11CC05,A,mah_national,3,8,0,,,,,
A11CC06,A,mah_national,1,2,0,,,,,
A11EB,A,mah_national,6,2,0,,,,,
A11GB,A,mah_national,2,1,0,,,,,
A11HA03,A,mah_national,1,1,0,,,,,
A11HA08,A,batch_release,1,1,0,1,FR,1.0,10000.0,1.0
A11HA08,A,mah_national,1,1,0,,,,,
A12AA,A,mah_national,3,3,0,,,,,
A12AA04,A,mah_national,3,3,0,,,,,
A12AA12,A,mah_national,1,1,0,,,,,
A12AX,A,mah_national,7,8,0,,,,,
A12BA,A,mah_national,2,4,1,,,,,
A12BA01,A,mah_national,1,3,1,,,,,
A12BA02,A,mah_national,1,2,0,,,,,
A12BA30,A,batch_release,1,1,0,1,FR,1.0,10000.0,1.0
A12BA30,A,mah_national,2,1,0,,,,,
A12CA,A,mah_national,1,1,0,,,,,
A12CA01,A,mah_national,1,1,0,,,,,
A12CC,A,mah_national,1,1,0,,,,,
A12CC02,A,api_cep,1,2,1,2,CZ,0.5,5000.0,0.5
A12CC04,A,mah_national,1,1,0,,,,,
A12CC05,A,mah_national,1,2,0,,,,,
A12CE,A,mah_national,1,1,0,,,,,
A12CE02,A,mah_national,1,1,0,,,,,
A16,A,batch_release,2,3,0,2,IE,0.6667,5555.6,0.6667
A16,A,bio_api,2,2,0,2,BE,0.5,5000.0,1.0
A16A,A,batch_release,3,4,0,4,DE,0.25,2500.0,1.0
A16A,A,mah_national,2,2,0,,,,,
A16AA,A,batch_release,1,1,0,1,IE,1.0,10000.0,1.0
A16AA,A,bio_api,1,1,0,1,AT,1.0,10000.0,1.0
A16AA,A,mah_national,5,3,0,,,,,
A16AA04,A,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
A16AA04,A,mah_national,2,2,0,,,,,
A16AA05,A,batch_release,1,2,0,2,FR,0.5,5000.0,1.0
A16AA05,A,mah_national,1,2,0,,,,,
A16AA06,A,batch_release,1,2,0,2,BE,0.5,5000.0,1.0
A16AA06,A,mah_national,1,2,0,,,,,
A16AB,A,batch_release,4,3,0,2,IE,0.6667,5555.6,1.0
A16AB,A,bio_api,4,5,0,3,IE,0.4,3600.0,0.4
