substance_raw,norm_key,is_combination,atc_codes,atc_level1,atc_origin,supplier_name,supplier_norm,supplier_id,country_iso2,source,role,status,cep_type,norm_trace
CHLORPROMAZINE HYDROCHLORIDE,chlorpromazine,False,N05AA|N05AA01,N,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/026/001,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clonazepam,clonazepam,False,N03AE|N03AE01,N,native,Taw Pharma (Ireland) Limited,taw ireland,PA23081/009/001,,hpra,mah_national,authorised,,
Folic acid,folic acid,False,B03BB|B03BB01,B,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/095/001,,hpra,mah_national,authorised,,
Clonidine hydrochloride,clonidine,False,C02AC01,C,native,Syri Pharma Limited t/a Thame Laboratories,syri t a thame laboratories,PA22697/020/001,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clarithromycin,clarithromycin,False,J01FA|J01FA09,J,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/136/001,,hpra,mah_national,authorised,,
Clarithromycin,clarithromycin,False,J01FA|J01FA09,J,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/136/002,,hpra,mah_national,authorised,,
Clopidogrel,clopidogrel,False,B01AC|B01AC04,B,native,Zentiva k.s.,zentiva k s,EU/1/08/465/1-14,,hpra,mah_national,authorised,,
Clopidogrel hydrogensulfate,clopidogrel hydrogensulfate,False,B01AC30,B,native,Mylan Pharmaceuticals Limited,mylan,EU/1/19/1395/006-010,,hpra,mah_national,authorised,,
Acetylsalicylic acid,acetylsalicylic acid,False,B01AC30,B,native,Mylan Pharmaceuticals Limited,mylan,EU/1/19/1395/006-010,,hpra,mah_national,authorised,,
Clopidogrel hydrogensulfate,clopidogrel hydrogensulfate,False,B01AC30,B,native,Mylan Pharmaceuticals Limited,mylan,EU/1/19/1395/001-005,,hpra,mah_national,authorised,,
Acetylsalicylic acid,acetylsalicylic acid,False,B01AC30,B,native,Mylan Pharmaceuticals Limited,mylan,EU/1/19/1395/001-005,,hpra,mah_national,authorised,,
Acetylsalicylic acid,acetylsalicylic acid,False,B01AC|B01AC30,B,native,Sanofi-Aventis Groupe,sanofi aventis groupe,EU/1/10/623/8-14,,hpra,mah_national,authorised,,
Clopidogrel hydrogensulfate,clopidogrel hydrogensulfate,False,B01AC|B01AC30,B,native,Sanofi-Aventis Groupe,sanofi aventis groupe,EU/1/10/623/8-14,,hpra,mah_national,authorised,,
Acetylsalicylic acid,acetylsalicylic acid,False,B01AC|B01AC30,B,native,Sanofi-Aventis Groupe,sanofi aventis groupe,EU/1/10/623/1-7,,hpra,mah_national,authorised,,
Clopidogrel hydrogensulfate,clopidogrel hydrogensulfate,False,B01AC|B01AC30,B,native,Sanofi-Aventis Groupe,sanofi aventis groupe,EU/1/10/623/1-7,,hpra,mah_national,authorised,,
Clopidogrel hydrogensulfate,clopidogrel hydrogensulfate,False,B01AC|B01AC04,B,native,Accord Healthcare Ireland Ltd.,accord healthcare ireland,PA2315/198/001,,hpra,mah_national,authorised,,
Clopidogrel Hydrogen Sulfate,clopidogrel,False,B01AC04,B,native,Azure Pharmaceuticals Ltd.,azure,PA22871/027/001,,hpra,mah_national,authorised,,stripped trailing 'sulfate'; stripped trailing 'hydrogen'
Clopidogrel,clopidogrel,False,B01AC|B01AC04,B,native,Laboratoires BIOGARAN,laboratoires biogaran,EU/1/09/558/1-12,,hpra,mah_national,authorised,,
Clopidogrel,clopidogrel,False,B01AC|B01AC04,B,native,Clonmel Healthcare Ltd,clonmel healthcare,PA0126/279/001,,hpra,mah_national,authorised,,
Clopidogrel hydrochloride,clopidogrel,False,B01AC|B01AC04,B,native,"KRKA, d.d., Novo mesto",krka d d novo mesto,EU/1/09/556/1-9,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clopidogrel hydrochloride,clopidogrel,False,B01AC|B01AC04,B,native,"KRKA, d.d., Novo mesto",krka d d novo mesto,EU/1/09/562/001-9,,hpra,mah_national,authorised,,stripped trailing 'hydrochloride'
Clopidogrel Hydrogen Sulfate,clopidogrel,False,B01AC04,B,native,MSN Labs Europe Limited,msn labs europe,PA23250/005/001,,hpra,mah_national,authorised,,stripped trailing 'sulfate'; stripped trailing 'hydrogen'
